,title,description,release_year,runtime,genres,production_countries,imdb_score
0,The Rental,two coupl rent vacat home celebratori weekend getaway,2020,88,"['drama', 'horror', 'thriller']",['US'],5.7
1,I'm Thinking of Ending Things,noth seem woman experienc misgiv new boyfriend join road trip meet parent remot farm,2020,134,"['drama', 'thriller', 'fantasy']",['US'],6.6
2,Extraction,tyler rake fearless black market mercenari embark dead extract career hes enlist rescu kidnap son imprison intern crime lord,2020,116,"['crime', 'drama', 'action', 'thriller']",['US'],6.7
3,My Octopus Teacher,year swim everi day freez ocean tip africa craig foster meet unlik teacher young octopus display remark curios visit den track movement month end eventu win anim trust develop neverbeforeseen bond human wild anim,2020,84,['documentation'],"['ZA', 'GB']",8.1
4,"Yes, God, Yes",alic young innoc cathol girl tempt masturb aol chat sudden turn sexual howev conflict act would consid sin,2020,78,"['comedy', 'drama']","['GB', 'US']",6.1
5,Enola Holmes,search miss mother intrepid teen enola holm use sleuth skill outsmart big brother sherlock help runaway lord,2020,123,"['crime', 'drama', 'action']",['US'],6.6
6,The Old Guard,four undi warrior whove secret protect human centuri becom target mysteri power discov new immort,2020,125,"['fantasy', 'action', 'thriller']",['US'],6.6
7,His House,make harrow escap wartorn south sudan young refuge coupl struggl adjust new life small english town unspeak evil lurk beneath surfac,2020,93,"['thriller', 'drama', 'horror']",['GB'],6.5
8,The Devil All the Time,knockemstiff ohio neighbor backwood sinist charact converg around young arvin russel fight evil forc threaten famili,2020,138,"['crime', 'drama', 'thriller', 'horror']",['US'],7.1
9,Summerland,woman second world war open heart evacue initi resolv rid,2020,102,"['romance', 'war', 'drama']",['GB'],7.0
10,Pieces of a Woman,young mother home birth end unfathom tragedi begin yearlong odyssey mourn fractur relationship love one deepli person stori woman learn live alongsid loss,2020,127,['drama'],"['CA', 'HU', 'US']",7.0
11,Mank, hollywood reevalu eye scath social critic alcohol screenwrit herman j mankiewicz race finish screenplay citizen kane ,2020,131,"['comedy', 'drama']",['US'],6.8
12,I Care a Lot,crook legal guardian drain save elder ward meet match woman tri swindl turn first appear,2020,118,"['drama', 'thriller', 'comedy', 'crime']","['GB', 'US']",6.3
13,The Social Dilemma,documentarydrama hybrid explor danger human impact social network tech expert sound alarm creation,2020,94,"['drama', 'documentation']",['US'],7.6
14,The Outpost,small unit us soldier alon remot combat outpost keat locat deep valley three mountain afghanistan battl defend overwhelm forc taliban fighter coordin attack battl kamdesh known bloodiest american engag afghan war  bravo troop  cav becam one decor unit  conflict,2020,123,"['history', 'action', 'war', 'drama']","['BG', 'US']",6.8
15,Disappearance at Clifton Hill,follow death mother young woman return home niagara fall becom entangl memori kidnap claim wit child,2020,100,"['thriller', 'drama']",['CA'],5.4
16,Eurovision Song Contest: The Story of Fire Saga,two smalltown aspir musician chase pop star dream global music competit high stake scheme rival onstag mishap test bond,2020,123,"['music', 'comedy']",['US'],6.5
17,The Forgotten Battle, second world war british glider pilot dutch boy fight german side dutch femal resist member end involv battl scheld choic differ goal freedom,2020,124,"['drama', 'war', 'history', 'documentation', 'european']","['BE', 'LT', 'NL']",7.1
18,After We Collided,base  romanc novel name follow love life two young adult,2020,105,"['drama', 'romance']",['US'],5.0
19,365 Days,massimo member sicilian mafia famili laura sale director expect trip sicili tri save relationship massimo kidnap give  day fall love,2020,114,"['romance', 'drama', 'european']",['PL'],3.3
