title,description,genre2,overall
The Rental,two coupl rent vacat home celebratori weekend getaway,drama horror thriller,two coupl rent vacat home celebratori weekend getaway drama horror thriller
I'm Thinking of Ending Things,noth seem woman experienc misgiv new boyfriend join road trip meet parent remot farm,drama thriller fantasy,noth seem woman experienc misgiv new boyfriend join road trip meet parent remot farm drama thriller fantasy
Extraction,tyler rake fearless black market mercenari embark dead extract career hes enlist rescu kidnap son imprison intern crime lord,crime drama action thriller,tyler rake fearless black market mercenari embark dead extract career hes enlist rescu kidnap son imprison intern crime lord crime drama action thriller
My Octopus Teacher,year swim everi day freez ocean tip africa craig foster meet unlik teacher young octopus display remark curios visit den track movement month end eventu win anim trust develop neverbeforeseen bond human wild anim,documentation,year swim everi day freez ocean tip africa craig foster meet unlik teacher young octopus display remark curios visit den track movement month end eventu win anim trust develop neverbeforeseen bond human wild anim documentation
"Yes, God, Yes",alic young innoc cathol girl tempt masturb aol chat sudden turn sexual howev conflict act would consid sin,comedy drama,alic young innoc cathol girl tempt masturb aol chat sudden turn sexual howev conflict act would consid sin comedy drama
Enola Holmes,search miss mother intrepid teen enola holm use sleuth skill outsmart big brother sherlock help runaway lord,crime drama action,search miss mother intrepid teen enola holm use sleuth skill outsmart big brother sherlock help runaway lord crime drama action
The Old Guard,four undi warrior whove secret protect human centuri becom target mysteri power discov new immort,fantasy action thriller,four undi warrior whove secret protect human centuri becom target mysteri power discov new immort fantasy action thriller
His House,make harrow escap wartorn south sudan young refuge coupl struggl adjust new life small english town unspeak evil lurk beneath surfac,thriller drama horror,make harrow escap wartorn south sudan young refuge coupl struggl adjust new life small english town unspeak evil lurk beneath surfac thriller drama horror
The Devil All the Time,knockemstiff ohio neighbor backwood sinist charact converg around young arvin russel fight evil forc threaten famili,crime drama thriller horror,knockemstiff ohio neighbor backwood sinist charact converg around young arvin russel fight evil forc threaten famili crime drama thriller horror
Summerland,woman second world war open heart evacue initi resolv rid,romance war drama,woman second world war open heart evacue initi resolv rid romance war drama
Pieces of a Woman,young mother home birth end unfathom tragedi begin yearlong odyssey mourn fractur relationship love one deepli person stori woman learn live alongsid loss,drama,young mother home birth end unfathom tragedi begin yearlong odyssey mourn fractur relationship love one deepli person stori woman learn live alongsid loss drama
Mank, hollywood reevalu eye scath social critic alcohol screenwrit herman j mankiewicz race finish screenplay citizen kane ,comedy drama, hollywood reevalu eye scath social critic alcohol screenwrit herman j mankiewicz race finish screenplay citizen kane  comedy drama
I Care a Lot,crook legal guardian drain save elder ward meet match woman tri swindl turn first appear,drama thriller comedy crime,crook legal guardian drain save elder ward meet match woman tri swindl turn first appear drama thriller comedy crime
The Social Dilemma,documentarydrama hybrid explor danger human impact social network tech expert sound alarm creation,drama documentation,documentarydrama hybrid explor danger human impact social network tech expert sound alarm creation drama documentation
The Outpost,small unit us soldier alon remot combat outpost keat locat deep valley three mountain afghanistan battl defend overwhelm forc taliban fighter coordin attack battl kamdesh known bloodiest american engag afghan war  bravo troop  cav becam one decor unit  conflict,history action war drama,small unit us soldier alon remot combat outpost keat locat deep valley three mountain afghanistan battl defend overwhelm forc taliban fighter coordin attack battl kamdesh known bloodiest american engag afghan war  bravo troop  cav becam one decor unit  conflict history action war drama
Disappearance at Clifton Hill,follow death mother young woman return home niagara fall becom entangl memori kidnap claim wit child,thriller drama,follow death mother young woman return home niagara fall becom entangl memori kidnap claim wit child thriller drama
Eurovision Song Contest: The Story of Fire Saga,two smalltown aspir musician chase pop star dream global music competit high stake scheme rival onstag mishap test bond,music comedy,two smalltown aspir musician chase pop star dream global music competit high stake scheme rival onstag mishap test bond music comedy
The Forgotten Battle, second world war british glider pilot dutch boy fight german side dutch femal resist member end involv battl scheld choic differ goal freedom,drama war history documentation european, second world war british glider pilot dutch boy fight german side dutch femal resist member end involv battl scheld choic differ goal freedom drama war history documentation european
After We Collided,base  romanc novel name follow love life two young adult,drama romance,base  romanc novel name follow love life two young adult drama romance
365 Days,massimo member sicilian mafia famili laura sale director expect trip sicili tri save relationship massimo kidnap give  day fall love,romance drama european,massimo member sicilian mafia famili laura sale director expect trip sicili tri save relationship massimo kidnap give  day fall love romance drama european
Ava,black op assassin forc fight surviv job goe danger wrong,thriller crime action drama,black op assassin forc fight surviv job goe danger wrong thriller crime action drama
The Trial of the Chicago 7,suppos peac protest turn violent clash polic follow one notori trial histori,drama history thriller,suppos peac protest turn violent clash polic follow one notori trial histori drama history thriller
